song,numerator_A,denominator_A,numerator_S,denominator_S
BE_FREE,143,389,123,598
SUN_SHINE!!!,290,2192,104,449
beautiful_days,144,600,34,619
no_more_war,392,2462,18,238
たけてん,208,886,99,999
オレンジ,61,1031,450,1668
キセキ,43,291,139,944
サヨナラから始めよう,186,1663,6,246
ビリーヴ,289,1399,251,1506
ルーキーズ,308,1925,193,1573
人,243,2161,121,1036
刹那,47,569,16,746
君想い,384,2568,39,569
愛唄,196,1126,182,842
扉,406,1638,150,606
旅立ち,170,662,122,537
星影のエール,216,921,187,1201
涙空,89,2579,58,182
花唄,179,1104,161,536
遥か,306,1026,228,1044
