song,numerator_A,denominator_A,numerator_S,denominator_S
あの夏に咲け,48,10,32,9
ただ君に晴れ,28,10,30,12
カトレア,35,4,29,6
ブレーメン,46,11,45,12
冬眠,28,6,32,11
又三郎,25,11,22,4
左右盲,29,7,56,10
月に吠える,45,7,53,11
準透明少年,42,11,32,6
爆弾魔,16,5,44,21
第一夜,48,21,24,7
老人と海,32,4,45,3
言って。,28,9,44,13
負け犬にアンコールはいらない,30,11,53,18
都落ち,39,9,24,5
雲と幽霊,27,5,39,11
靴の花火,17,5,56,13
４５１,38,5,35,2
