song,numerator_A,denominator_A,numerator_S,denominator_S
あの夏に咲け,7.909523809523809,59.160714285714306,7.116666666666666,37.46666666666666
ただ君に晴れ,7.65952380952381,32.885714285714286,10.316666666666666,36.96666666666667
カトレア,2.3666666666666667,45.292857142857144,6.083333333333333,38.48333333333333
ブレーメン,8.876190476190477,54.66904761904763,9.666666666666666,54.800000000000004
冬眠,4.816666666666667,37.06666666666667,9.116666666666667,39.03333333333334
又三郎,7.416666666666666,31.06666666666666,3.166666666666667,28.91666666666666
左右盲,5.416666666666667,39.099999999999994,9.294444444444444,61.735389610389625
月に吠える,4.309523809523809,53.96666666666668,6.9190476190476184,61.5404761904762
準透明少年,7.2595238095238095,49.6809523809524,5.866666666666666,46.95
爆弾魔,4.699999999999999,21.616666666666664,14.795238095238092,43.43809523809526
第一夜,11.955555555555554,49.35634920634922,4.020634920634921,26.750793650793643
老人と海,2.575,41.84404761904762,2.25,63.000000000000014
言って。,8.333333333333332,38.75000000000001,10.391666666666667,53.16785714285716
負け犬にアンコールはいらない,6.85,35.5,12.611904761904764,57.92142857142858
都落ち,5.183333333333334,46.65000000000001,5.066666666666666,33.599999999999994
雲と幽霊,4.699999999999999,35.65,7.146464646464646,47.1004329004329
靴の花火,4.916666666666666,24.916666666666664,6.910714285714285,64.60753968253971
４５１,8.161111111111111,44.60634920634922,0.8095238095238095,43.81594516594517
