song,numerator_A,denominator_A,numerator_S,denominator_S
あの夏に咲け,22,59,16,40
ただ君に晴れ,18,37,24,42
カトレア,8,39,14,36
ブレーメン,22,57,26,58
冬眠,12,34,22,43
又三郎,18,34,8,26
左右盲,10,34,28,70
月に吠える,14,52,18,62
準透明少年,22,53,12,38
爆弾魔,10,21,44,66
第一夜,40,68,12,30
老人と海,6,35,6,48
言って。,18,37,26,57
負け犬にアンコールはいらない,22,41,34,70
都落ち,16,47,10,29
雲と幽霊,12,33,22,50
靴の花火,10,22,24,68
４５１,16,46,4,37
