song,numerator_A,denominator_A,numerator_S,denominator_S
あの夏に咲け,10,48,9,32
ただ君に晴れ,10,28,12,30
カトレア,4,35,6,29
ブレーメン,11,46,12,45
冬眠,6,28,11,32
又三郎,11,25,4,22
左右盲,7,29,10,56
月に吠える,7,45,11,53
準透明少年,11,42,6,32
爆弾魔,5,16,21,44
第一夜,21,48,7,24
老人と海,4,32,3,45
言って。,9,28,13,44
負け犬にアンコールはいらない,11,30,18,53
都落ち,9,39,5,24
雲と幽霊,5,27,11,39
靴の花火,5,17,13,56
４５１,5,38,2,35
