song,numerator_A,denominator_A,numerator_S,denominator_S
あの夏に咲け,6.422133422133422,24.440954551983967,4.419444444444444,15.237987012987011
ただ君に晴れ,6.026190476190476,16.526800976800974,7.101551226551227,16.253066378066375
カトレア,2.3030303030303028,17.20810855810856,3.0447330447330447,11.028687978687978
ブレーメン,5.310894660894662,19.54931734931734,7.210966810966811,21.286957486957487
冬眠,3.1023809523809525,13.363744588744588,5.838383838383837,14.677078477078476
又三郎,4.52579365079365,11.077308802308803,1.8047619047619048,8.814682539682538
左右盲,2.803571428571429,13.453643578643582,8.693617575235223,29.908499459776568
月に吠える,3.7619047619047614,20.26317016317016,4.841883116883117,23.088236763236775
準透明少年,6.219733044733045,21.99542402042403,2.6111111111111107,12.630808080808084
爆弾魔,2.4047619047619047,6.630519480519481,10.736507936507937,19.646142746142747
第一夜,12.389746364746362,26.654230002024132,3.668542568542568,13.304580142080143
老人と海,1.5487179487179485,16.305394605394604,1.375,18.21287878787879
言って。,5.136904761904762,13.561507936507935,8.116414141414142,25.523909423909426
負け犬にアンコールはいらない,5.564682539682539,13.249531024531025,8.891341991341989,25.12369297369299
都落ち,3.925,15.906818181818187,2.5873015873015874,11.332611832611832
雲と幽霊,3.3511904761904763,13.064935064935066,7.434393384393384,25.103429413723532
靴の花火,2.2777777777777777,7.680555555555556,7.406701631701632,29.385805860805863
４５１,5.465268065268066,21.221794871794874,1.0363636363636364,19.82616282066747
