song,numerator_A,denominator_A,numerator_S,denominator_S
あの夏に咲け,16.849891774891773,44.31536796536797,12.591666666666667,30.282142857142865
ただ君に晴れ,13.045454545454545,27.823989898989904,16.603571428571428,29.086904761904773
カトレア,7.189285714285714,30.0452380952381,9.08095238095238,24.54761904761905
ブレーメン,20.020129870129868,47.2332251082251,19.283333333333335,42.4642857142857
冬眠,8.022619047619047,23.339285714285715,14.805555555555555,30.086507936507942
又三郎,11.347619047619046,22.480952380952377,5.247619047619048,18.064285714285713
左右盲,7.333333333333333,23.483333333333334,30.315079365079363,63.13213175713174
月に吠える,13.30974025974026,42.78831168831169,17.80901875901876,52.09473304473304
準透明少年,18.69534632034632,42.14613997113996,6.428571428571429,23.3952380952381
爆弾魔,5.783333333333333,13.083333333333332,38.56100011100012,55.707428682428684
第一夜,38.90768953268953,60.37475302475301,10.596764346764346,25.166533466533462
老人と海,6.771103896103896,27.342532467532475,4.0,33.766666666666666
言って。,10.616666666666667,22.75,17.444047619047616,40.41666666666667
負け犬にアンコールはいらない,18.669841269841267,31.753174603174603,35.37366522366522,61.46771284271283
都落ち,16.081349206349206,38.1313492063492,8.61111111111111,21.64444444444445
雲と幽霊,8.142857142857142,22.709523809523812,19.38586691086691,39.79535464535463
靴の花火,5.3999999999999995,12.816666666666665,26.76729104229104,61.21292596292594
４５１,14.0978021978022,35.931532356532365,5.1,31.057131757131764
