song,numerator_A,denominator_A,numerator_S,denominator_S
あの夏に咲け,397,2252,117,632
ただ君に晴れ,249,914,200,680
カトレア,71,1139,147,784
ブレーメン,199,1417,248,1190
冬眠,70,560,240,822
又三郎,161,575,42,337
左右盲,69,569,675,3603
月に吠える,110,1232,147,1341
準透明少年,231,1479,84,684
爆弾魔,68,320,505,1268
第一夜,617,2129,113,693
老人と海,72,1200,45,1095
言って。,100,485,280,1305
負け犬にアンコールはいらない,143,629,315,1425
都落ち,92,818,50,470
雲と幽霊,68,533,211,1491
靴の花火,68,318,224,1910
４５１,192,1446,34,1774
